player_id,batsman,bat_hand,shot,runs_scored,balls_faced,dismissals,batting_average,batting_strike_rate,Country
253802,Virat Kohli,RHB,FLICK,1990,1409,35,56.86,141.23,India
230559,Kieron Pollard,RHB,ON_DRIVE,1652,853,47,35.15,193.67,West Indies
296597,James Vince,RHB,VERTICAL_FORWARD_ATTACK,1650,1119,43,38.37,147.45,England
422593,Daniel Bell-Drummond,RHB,VERTICAL_FORWARD_ATTACK,1642,1125,28,58.64,145.96,England
253802,Virat Kohli,RHB,ON_DRIVE,1622,1126,30,54.07,144.05,India
555850,Sam Hain,RHB,VERTICAL_FORWARD_ATTACK,1605,1135,26,61.73,141.41,England
348144,Babar Azam,RHB,FLICK,1575,1299,21,75.0,121.25,Pakistan
12454,Joe Denly,RHB,VERTICAL_FORWARD_ATTACK,1488,979,41,36.29,151.99,England
470633,Tom Kohler-Cadmore,RHB,VERTICAL_FORWARD_ATTACK,1483,1000,39,38.03,148.3,England
256956,Laurie Evans,RHB,VERTICAL_FORWARD_ATTACK,1472,1136,41,35.9,129.58,England
308967,Jos Buttler,RHB,ON_DRIVE,1428,851,50,28.56,167.8,England
44828,Faf du Plessis,RHB,ON_DRIVE,1399,816,36,38.86,171.45,South Africa
23460,Luke Wright,RHB,VERTICAL_FORWARD_ATTACK,1338,848,33,40.55,157.78,England
10582,Ravi Bopara,RHB,VERTICAL_FORWARD_ATTACK,1318,950,32,41.19,138.74,England
253802,Virat Kohli,RHB,COVER_DRIVE,1316,790,20,65.8,166.58,India
232359,Colin Munro,LHB,ON_DRIVE,1309,740,36,36.36,176.89,New Zealand
219889,David Warner,LHB,PULL,1302,613,33,39.45,212.4,Australia
571911,Joe Clarke,RHB,VERTICAL_FORWARD_ATTACK,1298,831,30,43.27,156.2,England
246005,Sam Northeast,RHB,VERTICAL_FORWARD_ATTACK,1297,966,30,43.23,134.27,England
297498,Ian Cockbain,RHB,VERTICAL_FORWARD_ATTACK,1261,910,30,42.03,138.57,England
230559,Kieron Pollard,RHB,PULL,1254,488,20,62.7,256.97,West Indies
251721,Adam Lyth,LHB,VERTICAL_FORWARD_ATTACK,1247,820,34,36.68,152.07,England
276298,Andre Russell,RHB,SLOG_SHOT,1223,464,51,23.98,263.58,West Indies
51880,Chris Gayle,LHB,ON_DRIVE,1216,576,27,45.04,211.11,West Indies
308408,Josh Cobb,RHB,VERTICAL_FORWARD_ATTACK,1208,908,39,30.97,133.04,England
308967,Jos Buttler,RHB,COVER_DRIVE,1189,832,18,66.06,142.91,England
46543,Wayne Madsen,RHB,VERTICAL_FORWARD_ATTACK,1175,859,24,48.96,136.79,Italy
446507,Suryakumar Yadav,RHB,FLICK,1161,706,25,46.44,164.45,India
249866,Alex Hales,RHB,VERTICAL_FORWARD_ATTACK,1158,765,40,28.95,151.37,England
45705,Colin Ingram,LHB,VERTICAL_FORWARD_ATTACK,1156,792,26,44.46,145.96,South Africa
348144,Babar Azam,RHB,ON_DRIVE,1156,894,29,39.86,129.31,Pakistan
348144,Babar Azam,RHB,PULL,1152,591,22,52.36,194.92,Pakistan
641423,Dan Lawrence,RHB,VERTICAL_FORWARD_ATTACK,1148,753,36,31.89,152.46,England
230559,Kieron Pollard,RHB,FLICK,1146,966,27,42.44,118.63,West Indies
44828,Faf du Plessis,RHB,COVER_DRIVE,1130,730,28,40.36,154.79,South Africa
308967,Jos Buttler,RHB,PULL,1128,488,24,47.0,231.15,England
6161,Michael Klinger,RHB,VERTICAL_FORWARD_ATTACK,1107,806,22,50.32,137.34,Australia
11745,Steven Croft,RHB,VERTICAL_FORWARD_ATTACK,1107,959,25,44.28,115.43,England
308967,Jos Buttler,RHB,FLICK,1106,915,25,44.24,120.87,England
422108,KL Rahul,RHB,FLICK,1105,881,19,58.16,125.43,India
525992,Adam Hose,RHB,VERTICAL_FORWARD_ATTACK,1103,731,35,31.51,150.89,England
44828,Faf du Plessis,RHB,FLICK,1088,939,19,57.26,115.87,South Africa
34102,Rohit Sharma,RHB,PULL,1069,396,39,27.41,269.95,India
422108,KL Rahul,RHB,COVER_DRIVE,1063,648,14,75.93,164.04,India
604302,Nicholas Pooran,LHB,PULL,1057,457,32,33.03,231.29,West Indies
325026,Glenn Maxwell,RHB,ON_DRIVE,1056,636,35,30.17,166.04,Australia
288617,Ross Whiteley,LHB,VERTICAL_FORWARD_ATTACK,1055,704,43,24.53,149.86,England
631668,Stephen Eskinazi,RHB,VERTICAL_FORWARD_ATTACK,1050,816,30,35.0,128.68,England
325012,Marcus Stoinis,RHB,ON_DRIVE,1049,654,28,37.46,160.4,Australia
42657,Shoaib Malik,RHB,ON_DRIVE,1043,679,25,41.72,153.61,Pakistan
34102,Rohit Sharma,RHB,ON_DRIVE,1042,747,40,26.05,139.49,India
303427,Paul Stirling,RHB,VERTICAL_FORWARD_ATTACK,1041,697,39,26.69,149.35,Ireland
21440,John Simpson,LHB,VERTICAL_FORWARD_ATTACK,1039,776,38,27.34,133.89,England
28235,Shikhar Dhawan,LHB,FLICK,1038,854,22,47.18,121.55,India
422108,KL Rahul,RHB,ON_DRIVE,1036,755,24,43.17,137.22,India
897549,Will Jacks,RHB,VERTICAL_FORWARD_ATTACK,1036,654,30,34.53,158.41,England
323389,Mohammad Rizwan,RHB,FLICK,1034,855,24,43.08,120.94,Pakistan
236489,Dawid Malan,LHB,VERTICAL_FORWARD_ATTACK,1033,735,27,38.26,140.54,England
516039,Alex Davies,RHB,VERTICAL_FORWARD_ATTACK,1028,765,30,34.27,134.38,England
34102,Rohit Sharma,RHB,FLICK,1025,868,25,41.0,118.09,India
321777,David Miller,LHB,FLICK,1008,805,14,72.0,125.22,South Africa
321777,David Miller,LHB,ON_DRIVE,995,656,33,30.15,151.68,South Africa
326637,Chris Lynn,RHB,ON_DRIVE,979,587,31,31.58,166.78,Australia
325026,Glenn Maxwell,RHB,PULL,973,419,27,36.04,232.22,Australia
422108,KL Rahul,RHB,PULL,968,393,23,42.09,246.31,India
5334,Aaron Finch,RHB,ON_DRIVE,968,589,37,26.16,164.35,Australia
431901,Evin Lewis,LHB,PULL,967,354,30,32.23,273.16,West Indies
214265,Tom Westley,RHB,VERTICAL_FORWARD_ATTACK,957,781,38,25.18,122.54,England
253802,Virat Kohli,RHB,PULL,952,505,29,32.83,188.51,India
23508,Riki Wessels,RHB,VERTICAL_FORWARD_ATTACK,950,732,24,39.58,129.78,England
276298,Andre Russell,RHB,ON_DRIVE,946,436,23,41.13,216.97,West Indies
323389,Mohammad Rizwan,RHB,PULL,943,474,10,94.3,198.95,Pakistan
5334,Aaron Finch,RHB,VERTICAL_FORWARD_ATTACK,942,578,16,58.88,162.98,Australia
298438,Jason Roy,RHB,VERTICAL_FORWARD_ATTACK,935,624,26,35.96,149.84,England
325012,Marcus Stoinis,RHB,PULL,928,380,26,35.69,244.21,Australia
308251,David Willey,LHB,VERTICAL_FORWARD_ATTACK,920,635,23,40.0,144.88,England
470501,Graham Clark,RHB,VERTICAL_FORWARD_ATTACK,914,690,31,29.48,132.46,England
325026,Glenn Maxwell,RHB,FLICK,914,747,25,36.56,122.36,Australia
34102,Rohit Sharma,RHB,COVER_DRIVE,909,576,16,56.81,157.81,India
471202,Brett D'Oliveira,RHB,VERTICAL_FORWARD_ATTACK,905,735,30,30.17,123.13,England
348144,Babar Azam,RHB,COVER_DRIVE,903,696,14,64.5,129.74,Pakistan
276298,Andre Russell,RHB,PULL,900,390,36,25.0,230.77,West Indies
379774,Colin Ackermann,RHB,VERTICAL_FORWARD_ATTACK,899,715,24,37.46,125.73,Netherlands
219889,David Warner,LHB,CUT_SHOT,897,644,14,64.07,139.29,Australia
226492,Martin Guptill,RHB,ON_DRIVE,893,534,33,27.06,167.23,New Zealand
219889,David Warner,LHB,ON_DRIVE,889,601,25,35.56,147.92,Australia
379143,Quinton de Kock,LHB,PULL,884,405,25,35.36,218.27,South Africa
669365,Phil Salt,RHB,VERTICAL_FORWARD_ATTACK,882,620,25,35.28,142.26,England
4818,Mark Cosgrove,LHB,VERTICAL_FORWARD_ATTACK,879,631,28,31.39,139.3,Australia
28235,Shikhar Dhawan,LHB,ON_DRIVE,879,664,31,28.35,132.38,India
18632,Samit Patel,RHB,VERTICAL_FORWARD_ATTACK,878,703,33,26.61,124.89,England
9062,Ian Bell,RHB,VERTICAL_FORWARD_ATTACK,877,580,19,46.16,151.21,England
44828,Faf du Plessis,RHB,PULL,876,390,17,51.53,224.62,South Africa
267192,Steven Smith,RHB,FLICK,874,695,23,38.0,125.76,Australia
379143,Quinton de Kock,LHB,FLICK,871,722,19,45.84,120.64,South Africa
431901,Evin Lewis,LHB,ON_DRIVE,862,436,23,37.48,197.71,West Indies
386774,Chris Cooke,RHB,VERTICAL_FORWARD_ATTACK,861,644,29,29.69,133.7,England
604302,Nicholas Pooran,LHB,ON_DRIVE,857,481,31,27.65,178.17,West Indies
5334,Aaron Finch,RHB,FLICK,855,789,15,57.0,108.37,Australia
232359,Colin Munro,LHB,FLICK,855,791,20,42.75,108.09,New Zealand
232359,Colin Munro,LHB,PULL,854,451,21,40.67,189.36,New Zealand
446507,Suryakumar Yadav,RHB,COVER_DRIVE,852,470,9,94.67,181.28,India
249866,Alex Hales,RHB,PULL,852,368,24,35.5,231.52,England
425943,Sanju Samson,RHB,ON_DRIVE,852,556,25,34.08,153.24,India
28235,Shikhar Dhawan,LHB,PULL,851,461,25,34.04,184.6,India
219889,David Warner,LHB,COVER_DRIVE,839,627,14,59.93,133.81,Australia
403902,Liam Livingstone,RHB,VERTICAL_FORWARD_ATTACK,839,618,27,31.07,135.76,England
625371,Hardik Pandya,RHB,ON_DRIVE,837,533,34,24.62,157.04,India
232359,Colin Munro,LHB,COVER_DRIVE,832,587,26,32.0,141.74,New Zealand
642519,Shreyas Iyer,RHB,FLICK,829,675,20,41.45,122.81,India
446507,Suryakumar Yadav,RHB,ON_DRIVE,828,674,25,33.12,122.85,India
219889,David Warner,LHB,FLICK,827,760,13,63.62,108.82,Australia
42657,Shoaib Malik,RHB,FLICK,824,736,17,48.47,111.96,Pakistan
521637,Ben Duckett,LHB,VERTICAL_FORWARD_ATTACK,823,715,20,41.15,115.1,England
277906,Kane Williamson,RHB,FLICK,819,699,20,40.95,117.17,New Zealand
457280,Adam Rossington,RHB,VERTICAL_FORWARD_ATTACK,813,561,26,31.27,144.92,England
51880,Chris Gayle,LHB,PULL,813,330,27,30.11,246.36,West Indies
642519,Shreyas Iyer,RHB,ON_DRIVE,809,518,25,32.36,156.18,India
249866,Alex Hales,RHB,ON_DRIVE,808,548,26,31.08,147.45,England
462727,Tom Abell,RHB,VERTICAL_FORWARD_ATTACK,799,599,18,44.39,133.39,England
318845,Rilee Rossouw,LHB,PULL,797,348,18,44.28,229.02,South Africa
348144,Babar Azam,RHB,CUT_SHOT,794,541,19,41.79,146.77,Pakistan
788101,Tom Moores,LHB,VERTICAL_FORWARD_ATTACK,792,576,18,44.0,137.5,England
321777,David Miller,LHB,COVER_DRIVE,790,483,23,34.35,163.56,South Africa
8180,Shane Watson,RHB,PULL,787,345,26,30.27,228.12,Australia
243944,Alex Blake,LHB,VERTICAL_FORWARD_ATTACK,785,494,29,27.07,158.91,England
249866,Alex Hales,RHB,COVER_DRIVE,781,498,19,41.11,156.83,England
28235,Shikhar Dhawan,LHB,COVER_DRIVE,781,562,9,86.78,138.97,India
28081,MS Dhoni,RHB,ON_DRIVE,777,490,21,37.0,158.57,India
326637,Chris Lynn,RHB,PULL,776,343,19,40.84,226.24,Australia
298438,Jason Roy,RHB,ON_DRIVE,765,559,25,30.6,136.85,England
