,player_id,bowler,line,length,runs_conceded,ball_bowled,dismissals,economy,bowling_strike_rate,bowling_average
0,793463,Rashid Khan,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1776,2088,121,5.1,17.26,14.68
1,793463,Rashid Khan,ON_THE_STUMPS,GOOD_LENGTH,1871,1937,146,5.8,13.27,12.82
2,230558,Sunil Narine,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1757,1886,89,5.59,21.19,19.74
3,430246,Yuzvendra Chahal,ON_THE_STUMPS,GOOD_LENGTH,1591,1383,66,6.9,20.95,24.11
4,230558,Sunil Narine,ON_THE_STUMPS,GOOD_LENGTH,1245,1364,48,5.48,28.42,25.94
5,227758,Imad Wasim,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1244,1309,67,5.7,19.54,18.57
6,974109,Mujeeb Ur Rahman,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1156,1282,75,5.41,17.09,15.41
7,227758,Imad Wasim,ON_THE_STUMPS,GOOD_LENGTH,1164,1260,71,5.54,17.75,16.39
8,554691,Axar Patel,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1357,1229,61,6.62,20.15,22.25
9,56143,Shakib Al Hasan,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1173,1222,75,5.76,16.29,15.64
10,326016,Bhuvneshwar Kumar,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1192,1179,51,6.07,23.12,23.37
11,25913,Mohammad Nabi,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1096,1137,57,5.78,19.95,19.23
12,922943,Shadab Khan,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1143,1100,59,6.23,18.64,19.37
13,56143,Shakib Al Hasan,ON_THE_STUMPS,GOOD_LENGTH,1176,1099,57,6.42,19.28,20.63
14,379504,Adam Zampa,ON_THE_STUMPS,GOOD_LENGTH,1188,1098,75,6.49,14.64,15.84
15,26421,Ravichandran Ashwin,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1098,1061,57,6.21,18.61,19.26
16,430246,Yuzvendra Chahal,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1194,1052,60,6.81,17.53,19.9
17,40618,Imran Tahir,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1049,1047,75,6.01,13.96,13.99
18,234675,Ravindra Jadeja,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1201,1038,47,6.94,22.09,25.55
19,40618,Imran Tahir,ON_THE_STUMPS,GOOD_LENGTH,984,1015,61,5.82,16.64,16.13
20,234675,Ravindra Jadeja,ON_THE_STUMPS,GOOD_LENGTH,1035,989,47,6.28,21.04,22.02
21,922943,Shadab Khan,ON_THE_STUMPS,GOOD_LENGTH,1039,970,70,6.43,13.86,14.84
22,26421,Ravichandran Ashwin,ON_THE_STUMPS,GOOD_LENGTH,1043,964,48,6.49,20.08,21.73
23,379504,Adam Zampa,OUTSIDE_OFFSTUMP,GOOD_LENGTH,935,882,47,6.36,18.77,19.89
24,471342,Krunal Pandya,ON_THE_STUMPS,GOOD_LENGTH,923,846,36,6.55,23.5,25.64
25,554691,Axar Patel,ON_THE_STUMPS,GOOD_LENGTH,938,827,39,6.81,21.21,24.05
26,244497,Adil Rashid,ON_THE_STUMPS,GOOD_LENGTH,944,827,41,6.85,20.17,23.02
27,974109,Mujeeb Ur Rahman,ON_THE_STUMPS,GOOD_LENGTH,815,803,48,6.09,16.73,16.98
28,625383,Jasprit Bumrah,OUTSIDE_OFFSTUMP,GOOD_LENGTH,696,801,45,5.21,17.8,15.47
29,793463,Rashid Khan,OUTSIDE_OFFSTUMP,FULL,1071,800,58,8.03,13.79,18.47
30,379145,Tabraiz Shamsi,ON_THE_STUMPS,GOOD_LENGTH,841,797,41,6.33,19.44,20.51
31,240609,Fawad Ahmed,OUTSIDE_OFFSTUMP,GOOD_LENGTH,758,779,38,5.84,20.5,19.95
32,244497,Adil Rashid,OUTSIDE_OFFSTUMP,GOOD_LENGTH,759,779,47,5.85,16.57,16.15
33,51439,Dwayne Bravo,OUTSIDE_OFFSTUMP,GOOD_LENGTH,1004,765,51,7.87,15.0,19.69
34,25913,Mohammad Nabi,ON_THE_STUMPS,GOOD_LENGTH,825,762,39,6.5,19.54,21.15
35,502714,Mitchell Santner,OUTSIDE_OFFSTUMP,GOOD_LENGTH,717,756,43,5.69,17.58,16.67
36,8917,Moeen Ali,OUTSIDE_OFFSTUMP,GOOD_LENGTH,808,726,47,6.68,15.45,17.19
37,559235,Kuldeep Yadav,ON_THE_STUMPS,GOOD_LENGTH,818,721,45,6.81,16.02,18.18
38,330902,Mustafizur Rahman,OUTSIDE_OFFSTUMP,GOOD_LENGTH,744,699,42,6.39,16.64,17.71
39,40618,Imran Tahir,OUTSIDE_OFFSTUMP,FULL,914,696,61,7.88,11.41,14.98
40,787073,Chris Green,OUTSIDE_OFFSTUMP,GOOD_LENGTH,678,691,35,5.89,19.74,19.37
41,559066,Ish Sodhi,OUTSIDE_OFFSTUMP,GOOD_LENGTH,806,689,41,7.02,16.8,19.66
42,348148,Mohammad Nawaz,ON_THE_STUMPS,GOOD_LENGTH,719,686,38,6.29,18.05,18.92
43,240609,Fawad Ahmed,ON_THE_STUMPS,GOOD_LENGTH,719,684,45,6.31,15.2,15.98
44,625383,Jasprit Bumrah,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,653,683,33,5.74,20.7,19.79
45,391485,Jason Holder,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,721,677,34,6.39,19.91,21.21
46,530812,Akeal Hosein,OUTSIDE_OFFSTUMP,GOOD_LENGTH,645,670,35,5.78,19.14,18.43
47,793463,Rashid Khan,ON_THE_STUMPS,FULL,841,669,40,7.54,16.73,21.02
48,288992,Chris Jordan,OUTSIDE_OFFSTUMP,GOOD_LENGTH,795,668,28,7.14,23.86,28.39
49,530812,Akeal Hosein,ON_THE_STUMPS,GOOD_LENGTH,610,656,42,5.58,15.62,14.52
50,326016,Bhuvneshwar Kumar,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,714,653,35,6.56,18.66,20.4
51,784379,Wanindu Hasaranga de Silva,OUTSIDE_OFFSTUMP,GOOD_LENGTH,617,649,59,5.7,11.0,10.46
52,550215,Kagiso Rabada,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,748,648,26,6.93,24.92,28.77
53,276298,Andre Russell,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,788,647,38,7.31,17.03,20.74
54,288992,Chris Jordan,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,770,638,32,7.24,19.94,24.06
55,51439,Dwayne Bravo,OUTSIDE_OFFSTUMP,FULL,972,629,35,9.27,17.97,27.77
56,325026,Glenn Maxwell,ON_THE_STUMPS,GOOD_LENGTH,749,628,31,7.16,20.26,24.16
57,290948,Mohammad Amir,OUTSIDE_OFFSTUMP,GOOD_LENGTH,574,623,52,5.53,11.98,11.04
58,379145,Tabraiz Shamsi,OUTSIDE_OFFSTUMP,GOOD_LENGTH,717,623,36,6.91,17.31,19.92
59,1138316,Maheesh Theekshana,OUTSIDE_OFFSTUMP,GOOD_LENGTH,622,617,26,6.05,23.73,23.92
60,559066,Ish Sodhi,ON_THE_STUMPS,GOOD_LENGTH,729,613,40,7.14,15.32,18.23
61,8917,Moeen Ali,ON_THE_STUMPS,GOOD_LENGTH,759,610,32,7.47,19.06,23.72
62,787073,Chris Green,ON_THE_STUMPS,GOOD_LENGTH,583,609,29,5.74,21.0,20.1
63,330902,Mustafizur Rahman,ON_THE_STUMPS,GOOD_LENGTH,635,608,40,6.27,15.2,15.88
64,1138316,Maheesh Theekshana,ON_THE_STUMPS,GOOD_LENGTH,575,605,35,5.7,17.29,16.43
65,232364,Tim Southee,OUTSIDE_OFFSTUMP,GOOD_LENGTH,649,604,40,6.45,15.1,16.23
66,681305,Hasan Ali,OUTSIDE_OFFSTUMP,GOOD_LENGTH,679,603,32,6.76,18.84,21.22
67,277912,Trent Boult,OUTSIDE_OFFSTUMP,GOOD_LENGTH,682,600,18,6.82,33.33,37.89
68,40618,Imran Tahir,ON_THE_STUMPS,FULL,719,599,36,7.2,16.64,19.97
69,438362,Sandeep Sharma,OUTSIDE_OFFSTUMP,GOOD_LENGTH,559,597,26,5.62,22.96,21.5
70,784379,Wanindu Hasaranga de Silva,ON_THE_STUMPS,GOOD_LENGTH,571,590,44,5.81,13.41,12.98
71,502714,Mitchell Santner,ON_THE_STUMPS,GOOD_LENGTH,649,590,27,6.6,21.85,24.04
72,325026,Glenn Maxwell,OUTSIDE_OFFSTUMP,GOOD_LENGTH,662,590,21,6.73,28.1,31.52
73,1161606,Haris Rauf,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,701,585,31,7.19,18.87,22.61
74,1175441,Ravi Bishnoi,OUTSIDE_OFFSTUMP,GOOD_LENGTH,575,579,35,5.96,16.54,16.43
75,230558,Sunil Narine,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,668,576,20,6.96,28.8,33.4
76,625371,Hardik Pandya,OUTSIDE_OFFSTUMP,GOOD_LENGTH,695,573,26,7.28,22.04,26.73
77,290948,Mohammad Amir,ON_THE_STUMPS,GOOD_LENGTH,518,572,27,5.43,21.19,19.19
78,457249,Carlos Brathwaite,OUTSIDE_OFFSTUMP,GOOD_LENGTH,627,572,32,6.58,17.88,19.59
79,550215,Kagiso Rabada,OUTSIDE_OFFSTUMP,GOOD_LENGTH,654,571,32,6.87,17.84,20.44
80,348148,Mohammad Nawaz,OUTSIDE_OFFSTUMP,GOOD_LENGTH,664,570,18,6.99,31.67,36.89
81,471342,Krunal Pandya,OUTSIDE_OFFSTUMP,GOOD_LENGTH,622,570,18,6.55,31.67,34.56
82,430246,Yuzvendra Chahal,ON_THE_STUMPS,FULL,767,569,50,8.09,11.38,15.34
83,1161606,Haris Rauf,OUTSIDE_OFFSTUMP,GOOD_LENGTH,680,562,33,7.26,17.03,20.61
84,276298,Andre Russell,OUTSIDE_OFFSTUMP,GOOD_LENGTH,665,561,35,7.11,16.03,19.0
85,505120,Ashton Agar,OUTSIDE_OFFSTUMP,GOOD_LENGTH,599,560,33,6.42,16.97,18.15
86,277912,Trent Boult,ON_THE_STUMPS,GOOD_LENGTH,559,560,30,5.99,18.67,18.63
87,326016,Bhuvneshwar Kumar,ON_THE_STUMPS,GOOD_LENGTH,586,559,28,6.29,19.96,20.93
88,625371,Hardik Pandya,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,666,559,27,7.15,20.7,24.67
89,272262,Kane Richardson,OUTSIDE_OFFSTUMP,GOOD_LENGTH,546,557,42,5.88,13.26,13.0
90,793463,Rashid Khan,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,626,556,20,6.76,27.8,31.3
91,391485,Jason Holder,OUTSIDE_OFFSTUMP,GOOD_LENGTH,615,556,23,6.64,24.17,26.74
92,833087,Mahedi Hasan,OUTSIDE_OFFSTUMP,GOOD_LENGTH,552,555,32,5.97,17.34,17.25
93,379504,Adam Zampa,ON_THE_STUMPS,FULL,800,555,35,8.65,15.86,22.86
94,505120,Ashton Agar,ON_THE_STUMPS,GOOD_LENGTH,595,553,25,6.46,22.12,23.8
95,457249,Carlos Brathwaite,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,636,552,21,6.91,26.29,30.29
96,230558,Sunil Narine,OUTSIDE_OFFSTUMP,FULL,685,548,27,7.5,20.3,25.37
97,719715,Washington Sundar,OUTSIDE_OFFSTUMP,GOOD_LENGTH,613,542,13,6.79,41.69,47.15
98,1108375,Varun Chakravarthy,OUTSIDE_OFFSTUMP,GOOD_LENGTH,494,536,29,5.53,18.48,17.03
99,221140,David Wiese,OUTSIDE_OFFSTUMP,GOOD_LENGTH,594,534,23,6.67,23.22,25.83
100,793463,Rashid Khan,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,630,533,24,7.09,22.21,26.25
101,29264,Harbhajan Singh,OUTSIDE_OFFSTUMP,GOOD_LENGTH,652,531,20,7.37,26.55,32.6
102,459508,Andrew Tye,OUTSIDE_OFFSTUMP,GOOD_LENGTH,635,531,27,7.18,19.67,23.52
103,32966,Piyush Chawla,OUTSIDE_OFFSTUMP,GOOD_LENGTH,569,526,29,6.49,18.14,19.62
104,481896,Mohammed Shami,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,607,523,17,6.96,30.76,35.71
