player_id,batsman,bat_hand,matches_played,runs_scored,balls_faced,batting_strike_rate,dismissals,boundary_runs,boundary_balls,4s,6s,dots,dot_percent,boundary_percent,batting_average,Country
348144,Babar Azam,RHB,256,9812,7560,129.79,224,5228,1218,1040,178,2385,31.55,53.28,43.8,Pakistan
308967,Jos Buttler,RHB,282,9227,6376,144.71,248,5766,1244,849,395,2277,35.71,62.49,37.21,England
232359,Colin Munro,LHB,319,8845,6274,140.98,291,5690,1205,770,435,2316,36.91,64.33,30.4,New Zealand
249866,Alex Hales,RHB,310,8644,5784,149.45,297,6048,1330,966,364,2189,37.85,69.97,29.1,England
253802,Virat Kohli,RHB,228,8437,6124,137.77,189,4576,1003,721,282,1829,29.87,54.24,44.64,India
296597,James Vince,RHB,276,8196,6021,136.12,255,4916,1122,908,214,2097,34.83,59.98,32.14,England
230559,Kieron Pollard,RHB,346,7808,5232,149.24,254,5032,998,478,520,1868,35.7,64.45,30.74,West Indies
51880,Chris Gayle,LHB,265,7721,5356,144.16,243,5884,1179,595,584,2485,46.4,76.21,31.77,West Indies
42657,Shoaib Malik,RHB,297,7686,5921,129.81,228,3878,838,575,263,1771,29.91,50.46,33.71,Pakistan
5334,Aaron Finch,RHB,260,7677,5478,140.14,230,4724,1026,716,310,2009,36.67,61.53,33.38,Australia
44828,Faf du Plessis,RHB,245,7656,5512,138.9,223,4536,989,699,290,1858,33.71,59.25,34.33,South Africa
325026,Glenn Maxwell,RHB,299,7509,4917,152.72,255,4738,1006,649,357,1618,32.91,63.1,29.45,Australia
219889,David Warner,LHB,197,6960,4989,139.51,171,4168,934,718,216,1770,35.48,59.89,40.7,Australia
326637,Chris Lynn,RHB,227,6936,4813,144.11,203,4704,995,633,362,1883,39.12,67.82,34.17,Australia
323389,Mohammad Rizwan,RHB,202,6859,5403,126.95,153,3568,795,601,194,1797,33.26,52.02,44.83,Pakistan
298438,Jason Roy,RHB,262,6828,4805,142.1,253,4598,1022,767,255,1875,39.02,67.34,26.99,England
34102,Rohit Sharma,RHB,249,6801,4963,137.03,237,4464,962,654,308,1944,39.17,65.64,28.7,India
236489,Dawid Malan,LHB,234,6791,5105,133.03,211,4088,906,674,232,1830,35.85,60.2,32.18,England
422108,KL Rahul,RHB,180,6770,4910,137.88,154,4018,861,574,287,1657,33.75,59.35,43.96,India
379143,Quinton de Kock,LHB,225,6630,4772,138.94,213,4298,944,683,261,1807,37.87,64.83,31.13,South Africa
318845,Rilee Rossouw,LHB,255,6599,4443,148.53,219,4212,907,615,292,1495,33.65,63.83,30.13,South Africa
604302,Nicholas Pooran,LHB,280,6563,4439,147.85,237,4456,887,433,454,1694,38.16,67.9,27.69,West Indies
276298,Andre Russell,RHB,308,6474,3783,171.13,229,4994,974,425,549,1496,39.55,77.14,28.27,West Indies
28235,Shikhar Dhawan,LHB,205,6331,4908,128.99,185,3784,868,712,156,1815,36.98,59.77,34.22,India
321777,David Miller,LHB,283,6275,4536,138.34,198,3478,723,430,293,1407,31.02,55.43,31.69,South Africa
303427,Paul Stirling,RHB,242,5879,4124,142.56,234,4154,912,659,253,1710,41.46,70.66,25.12,Ireland
446507,Suryakumar Yadav,RHB,189,5813,3742,155.34,156,3890,844,587,257,1226,32.76,66.92,37.26,India
45705,Colin Ingram,LHB,225,5768,4054,142.28,188,3676,786,520,266,1434,35.37,63.73,30.68,South Africa
256956,Laurie Evans,RHB,217,5662,4101,138.06,177,3288,715,501,214,1347,32.85,58.07,31.99,England
403902,Liam Livingstone,RHB,234,5646,3958,142.65,215,3554,719,380,339,1418,35.83,62.95,26.26,England
44936,AB de Villiers,RHB,163,5570,3508,158.78,129,3498,734,453,281,1022,29.13,62.8,43.18,South Africa
325012,Marcus Stoinis,RHB,235,5530,3994,138.46,184,3260,696,458,238,1408,35.25,58.95,30.05,Australia
823509,Glenn Phillips,RHB,197,5495,3885,141.44,173,3422,709,416,293,1404,36.14,62.27,31.76,New Zealand
226492,Martin Guptill,RHB,198,5417,4057,133.52,185,3476,739,479,260,1616,39.83,64.17,29.28,New Zealand
431901,Evin Lewis,LHB,202,5381,3674,146.46,186,4022,815,434,381,1680,45.73,74.74,28.93,West Indies
51862,Andre Fletcher,RHB,205,5252,4205,124.9,180,3356,715,467,248,1843,43.83,63.9,29.18,West Indies
512191,Fakhar Zaman,LHB,202,5223,3866,135.1,200,3256,709,499,210,1423,36.81,62.34,26.12,Pakistan
333066,Johnson Charles,RHB,190,5188,3797,136.63,181,3492,738,468,270,1582,41.66,67.31,28.66,West Indies
10582,Ravi Bopara,RHB,240,5157,4109,125.5,176,2554,552,379,173,1296,31.54,49.52,29.3,England
669365,Phil Salt,RHB,210,5097,3297,154.6,197,3426,758,561,197,1110,33.67,67.22,25.87,England
8180,Shane Watson,RHB,195,5065,3710,136.52,174,3450,724,447,277,1561,42.08,68.11,29.11,Australia
277906,Kane Williamson,RHB,171,5001,4008,124.78,142,2596,581,445,136,1372,34.23,51.91,35.22,New Zealand
297628,Sam Billings,RHB,238,4871,3629,134.22,204,2580,563,399,164,1169,32.21,52.97,23.88,England
56194,Tamim Iqbal,LHB,155,4828,3940,122.54,139,2932,656,502,154,1593,40.43,60.73,34.73,Bangladesh
56143,Shakib Al Hasan,LHB,248,4652,3778,123.13,208,2476,555,427,128,1305,34.54,53.22,22.37,Bangladesh
379140,Devon Conway,LHB,130,4633,3478,133.21,103,2654,610,503,107,1169,33.61,57.28,44.98,New Zealand
53116,Lendl Simmons,RHB,172,4627,3790,122.08,153,3034,649,430,219,1756,46.33,65.57,30.24,West Indies
25913,Mohammad Nabi,RHB,253,4602,3273,140.6,203,2702,555,314,241,1120,34.22,58.71,22.67,Afghanistan
892749,Tim David,RHB,201,4519,2787,162.15,144,2942,596,317,279,847,30.39,65.1,31.38,Australia
24598,Eoin Morgan,LHB,202,4498,3400,132.29,171,2632,539,301,238,1227,36.09,58.51,26.3,England
8917,Moeen Ali,LHB,205,4489,3058,146.8,168,3014,622,359,263,1122,36.69,67.14,26.72,England
322810,Cameron Delport,LHB,193,4478,3239,138.25,177,2960,640,440,200,1279,39.49,66.1,25.3,South Africa
425943,Sanju Samson,RHB,169,4456,3149,141.51,148,2692,570,364,206,1054,33.47,60.41,30.11,India
642519,Shreyas Iyer,RHB,164,4400,3390,129.79,141,2498,541,374,167,1176,34.69,56.77,31.21,India
37737,Brendon McCullum,RHB,170,4352,3107,140.07,162,3026,637,398,239,1291,41.55,69.53,26.86,New Zealand
931581,Rishabh Pant,LHB,165,4309,2996,143.83,143,2716,583,391,192,1011,33.74,63.03,30.13,India
571911,Joe Clarke,RHB,168,4288,2952,145.26,155,2822,614,431,183,1110,37.6,65.81,27.66,England
308798,D'Arcy Short,LHB,140,4234,3221,131.45,129,2592,580,444,136,1231,38.22,61.22,32.82,Australia
41434,Mohammad Hafeez,RHB,183,4229,3442,122.86,154,2468,545,401,144,1343,39.02,58.36,27.46,Pakistan
436757,Heinrich Klaasen,RHB,157,4152,2681,154.87,121,2484,507,279,228,766,28.57,59.83,34.31,South Africa
56025,Mahmudullah,RHB,190,4151,3344,124.13,154,2158,468,325,143,1161,34.72,51.99,26.95,Bangladesh
897549,Will Jacks,RHB,147,4142,2602,159.19,135,2922,617,390,227,934,35.9,70.55,30.68,England
269280,Reeza Hendricks,RHB,134,4103,3215,127.62,121,2360,535,425,110,1147,35.68,57.52,33.91,South Africa
337790,Rassie van der Dussen,RHB,134,4084,3008,135.77,109,2230,467,286,181,955,31.75,54.6,37.47,South Africa
670025,Shimron Hetmyer,LHB,192,4033,2996,134.61,154,2390,492,281,211,1099,36.68,59.26,26.19,West Indies
625964,Tim Seifert,RHB,158,4015,3048,131.73,144,2460,533,369,164,1183,38.81,61.27,27.88,New Zealand
470633,Tom Kohler-Cadmore,RHB,158,4013,2874,139.63,147,2518,533,340,193,1037,36.08,62.75,27.3,England
12454,Joe Denly,RHB,154,4013,3097,129.58,138,2340,516,378,138,1171,37.81,58.31,29.08,England
536936,Litton Das,RHB,176,3958,3111,127.23,171,2422,542,415,127,1239,39.83,61.19,23.15,Bangladesh
422593,Daniel Bell-Drummond,RHB,124,3951,2813,140.46,114,2222,506,407,99,852,30.29,56.24,34.66,England
230193,Matthew Wade,LHB,163,3941,2826,139.46,142,2216,489,359,130,913,32.31,56.23,27.75,Australia
625371,Hardik Pandya,RHB,201,3914,2741,142.79,143,2390,495,290,205,933,34.04,61.06,27.37,India
1070173,Shubman Gill,RHB,122,3893,2837,137.22,108,2244,499,375,124,932,32.85,57.64,36.05,India
230558,Sunil Narine,LHB,266,3883,2558,151.8,225,2976,623,381,242,1162,45.43,76.64,17.26,West Indies
23460,Luke Wright,RHB,131,3882,2794,138.94,124,2400,540,420,120,979,35.04,61.82,31.31,England
555850,Sam Hain,RHB,131,3841,2859,134.35,103,1992,449,351,98,814,28.47,51.86,37.29,England
4864,Dan Christian,RHB,224,3836,2676,143.35,158,2240,458,254,204,874,32.66,58.39,24.28,Australia
