p_match,inns,bat,p_bat,team_bat,bowl,p_bowl,team_bowl,ball,ball_id,outcome,score,out,dismissal,p_out,over,noball,wide,byes,legbyes,cur_bat_runs,cur_bat_bf,cur_bowl_ovr,cur_bowl_wkts,cur_bowl_runs,inns_runs,inns_wkts,inns_balls,inns_runs_rem,inns_balls_rem,inns_rr,inns_rrr,target,max_balls,date,year,ground,country,winner,toss,competition,bat_hand,bowl_style,bowl_kind,batruns,ballfaced,bowlruns,wagonZone,pitchLine,pitchLength,shotType
1001349,1,Aaron Finch,5334,Australia,Lasith Malinga,49758,Sri Lanka,1,1001349_1_1_1,no run,0,FALSE,,5334,1,0,0,0,0,0,1,0.1,0,0,0,0,1,,119,0,,,120,2/17/17,2017,Melbourne Cricket Ground,Australia,Sri Lanka,Sri Lanka,T20I,RHB,RF,pace bowler,0,1,0,3,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,DEFENDED
1001349,1,Aaron Finch,5334,Australia,Lasith Malinga,49758,Sri Lanka,2,1001349_1_1_2,no run,0,FALSE,,5334,1,0,0,0,0,0,2,0.2,0,0,0,0,2,,118,0,,,120,2/17/17,2017,Melbourne Cricket Ground,Australia,Sri Lanka,Sri Lanka,T20I,RHB,RF,pace bowler,0,1,0,3,ON_THE_STUMPS,GOOD_LENGTH,DEFENDED
1001349,1,Aaron Finch,5334,Australia,Lasith Malinga,49758,Sri Lanka,3,1001349_1_1_3,run,1,FALSE,,5334,1,0,0,0,0,1,3,0.3,0,1,1,0,3,,117,2,,,120,2/17/17,2017,Melbourne Cricket Ground,Australia,Sri Lanka,Sri Lanka,T20I,RHB,RF,pace bowler,1,1,1,4,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,DEFENDED
1001351,1,Aaron Finch,5334,Australia,Lasith Malinga,49758,Sri Lanka,3,1001351_1_1_3,no run,0,FALSE,,5334,1,0,0,0,0,0,1,0.3,0,1,1,0,3,,117,2,,,120,2/19/17,2017,"Simonds Stadium, South Geelong, Victoria",Australia,Sri Lanka,Sri Lanka,T20I,RHB,RF,pace bowler,0,1,0,5,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,DEFENDED
1001351,1,Aaron Finch,5334,Australia,Lasith Malinga,49758,Sri Lanka,4,1001351_1_1_4,four,4,FALSE,,5334,1,0,0,0,0,4,2,0.4,0,5,5,0,4,,116,7.5,,,120,2/19/17,2017,"Simonds Stadium, South Geelong, Victoria",Australia,Sri Lanka,Sri Lanka,T20I,RHB,RF,pace bowler,4,1,4,6,OUTSIDE_OFFSTUMP,GOOD_LENGTH,CUT_SHOT
1001351,1,Aaron Finch,5334,Australia,Lasith Malinga,49758,Sri Lanka,5,1001351_1_1_5,leg bye,1,FALSE,,5334,1,0,0,0,1,4,3,0.5,0,5,6,0,5,,115,7.2,,,120,2/19/17,2017,"Simonds Stadium, South Geelong, Victoria",Australia,Sri Lanka,Sri Lanka,T20I,RHB,RF,pace bowler,0,1,0,2,ON_THE_STUMPS,GOOD_LENGTH,FLICK
1001353,1,Aaron Finch,5334,Australia,Lasith Malinga,49758,Sri Lanka,1,1001353_1_1_1,no run,0,FALSE,,5334,1,0,0,0,0,0,1,0.1,0,0,0,0,1,,119,0,,,120,2/22/17,2017,Adelaide Oval,Australia,Australia,Sri Lanka,T20I,RHB,RF,pace bowler,0,1,0,6,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,DEFENDED
1001353,1,Aaron Finch,5334,Australia,Lasith Malinga,49758,Sri Lanka,2,1001353_1_1_2,no run,0,FALSE,,5334,1,0,0,0,0,0,2,0.2,0,0,0,0,2,,118,0,,,120,2/22/17,2017,Adelaide Oval,Australia,Australia,Sri Lanka,T20I,RHB,RF,pace bowler,0,1,0,6,OUTSIDE_OFFSTUMP,GOOD_LENGTH,DEFENDED
1001353,1,Aaron Finch,5334,Australia,Lasith Malinga,49758,Sri Lanka,3,1001353_1_1_3,no run,0,FALSE,,5334,1,0,0,0,0,0,3,0.3,0,0,0,0,3,,117,0,,,120,2/22/17,2017,Adelaide Oval,Australia,Australia,Sri Lanka,T20I,RHB,RF,pace bowler,0,1,0,4,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,ON_DRIVE
1001353,1,Aaron Finch,5334,Australia,Lasith Malinga,49758,Sri Lanka,4,1001353_1_1_4,no run,0,FALSE,,5334,1,0,0,0,0,0,4,0.4,0,0,0,0,4,,116,0,,,120,2/22/17,2017,Adelaide Oval,Australia,Australia,Sri Lanka,T20I,RHB,RF,pace bowler,0,1,0,5,ON_THE_STUMPS,GOOD_LENGTH,ON_DRIVE
1001353,1,Aaron Finch,5334,Australia,Lasith Malinga,49758,Sri Lanka,5,1001353_1_1_5,run,1,FALSE,,5334,1,0,0,0,0,1,5,0.5,0,1,1,0,5,,115,1.2,,,120,2/22/17,2017,Adelaide Oval,Australia,Australia,Sri Lanka,T20I,RHB,RF,pace bowler,1,1,1,3,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,PULL
1001353,1,Aaron Finch,5334,Australia,Lasith Malinga,49758,Sri Lanka,1,1001353_1_6_1,four,4,FALSE,,5334,6,0,0,0,0,39,21,1.1,0,5,57,0,31,,89,11.03,,,120,2/22/17,2017,Adelaide Oval,Australia,Australia,Sri Lanka,T20I,RHB,RF,pace bowler,4,1,4,2,WIDE_DOWN_LEG,FULL_TOSS,LEG_GLANCE
1001353,1,Aaron Finch,5334,Australia,Lasith Malinga,49758,Sri Lanka,2,1001353_1_6_2,run,1,FALSE,,5334,6,0,0,0,0,40,22,1.2,0,6,58,0,32,,88,10.87,,,120,2/22/17,2017,Adelaide Oval,Australia,Australia,Sri Lanka,T20I,RHB,RF,pace bowler,1,1,1,3,ON_THE_STUMPS,GOOD_LENGTH,FLICK
